eswbs_code,one_digit_group,group_name,nomenclature,remarks
1000,1,Hull Structure,COMBAT CAPABILITIES (OFFENSIVE AND DEFENSIVE),
10000,1,Hull Structure,"HULL STRUCTURE, GENERAL",
10010,1,Hull Structure,"HULL ACCESSES, TEMPORARY (DELETED SEE 8636)",
10011,1,Hull Structure,"HULL ACCESSES, TEMPORARY (DELETED SEE 86361)",
10100,1,Hull Structure,GENERAL ARRANGEMENT-STRUCTURAL DRAWINGS,
1100,1,Hull Structure,AIR WEAPONS VS AIR TARGETS,
11000,1,Hull Structure,SHELL AND SUPPORTING STRUCTURE,
11010,1,Hull Structure,"HULL, UNDERWATER BODY",
11011,1,Hull Structure,"HULL, UNDERWATER BODY",
11020,1,Hull Structure,HULL STRUCTURE ABOVE UNDERWATER BODY,
11021,1,Hull Structure,HULL STRUCTURE ABOVE UNDERWATER BODY,
11100,1,Hull Structure,"SHELL PLATING, SURFACE SHIP AND SUBMARINE PRESSURE HULL",
11110,1,Hull Structure,"SHELL PLATING, SUBMARINE PRESSURE HULL",
11111,1,Hull Structure,SHELL PLATING SUBMARINE PRESSURE HULL,
11200,1,Hull Structure,"SHELL PLATING, SUBMARINE NON-PRESSURE HULL",
11210,1,Hull Structure,SHELL PLATING SUBMARINE NON-PRESSURE HULL,
11211,1,Hull Structure,SHELL PLATING SUBMARINE NON-PRESSURE HULL,
11300,1,Hull Structure,INNER BOTTOM,
11400,1,Hull Structure,SHELL APPENDAGES,
11410,1,Hull Structure,SHELL APPENDAGES,
11411,1,Hull Structure,SHELL APPENDAGES,
11500,1,Hull Structure,STANCHIONS,
11800,1,Hull Structure,LONGITUDINAL AND TRANSVERSE SUBMARINE NON-PRESSURE HULL,
11810,1,Hull Structure,LONGITUDINAL AND TRANSVERSE SUBMARINE NON-PRESSURE HULL,
11811,1,Hull Structure,LONGITUDINAL AND TRANSVERSE SUBMARINE NON-PRESSURE HULL,
11900,1,Hull Structure,LIFT SYSTEM FLEXIBLE SKIRTS AND SEALS,
11910,1,Hull Structure,LIFT SYSTEM FLEXIBLE SKIRTS AND SEALS,
11911,1,Hull Structure,"FLEXIBLE SKIRTS AND SEALS, LIFT SYSTEM",
1200,1,Hull Structure,AIR WEAPONS VS SURFACE TARGETS,
12000,1,Hull Structure,HULL STRUCTURAL BULKHEADS,
12010,1,Hull Structure,STRUCTURAL BULKHEADS LESS SUPERSTRUCTURE,
12011,1,Hull Structure,STRUCTURAL BULKHEADS LESS SUPERSTRUCTURE,
12100,1,Hull Structure,LONGITUDINAL STRUCTURAL BULKHEADS,
12110,1,Hull Structure,LONGITUDINAL STRUCTURAL BULKHEADS,
12111,1,Hull Structure,LONGITUDINAL STRUCTURAL BULKHEADS,
12200,1,Hull Structure,TRANSVERSE STRUCTURAL BULKHEADS,
12220,1,Hull Structure,TRANSVERSE STRUCTURAL BULKHEADS (SURFACE SHIPS),
12221,1,Hull Structure,TRANSVERSE STRUCTURAL BULKHEADS (SURFACE SHIPS),
12300,1,Hull Structure,TRUNKS AND ENCLOSURES,
12310,1,Hull Structure,TANKS,
12311,1,Hull Structure,FUEL OIL TANKS,
12312,1,Hull Structure,JP-5 TANKS,
12313,1,Hull Structure,FEED WATER TANKS,
12314,1,Hull Structure,POTABLE WATER TANKS,
12315,1,Hull Structure,LUBE OIL TANKS,
12316,1,Hull Structure,BALLAST TANKS,
12317,1,Hull Structure,CONTAMINATED OIL TANKS,
12318,1,Hull Structure,MOGAS TANKS,
12319,1,Hull Structure,WASTE TANKS,
12320,1,Hull Structure,TRUNKS AND VOIDS,
12321,1,Hull Structure,TRUNKS,
12322,1,Hull Structure,VOIDS AND COFFERDAMS,
12610,1,Hull Structure,BUILT-IN SOFT TANKS,
12611,1,Hull Structure,BUILT-IN SOFT TANKS,
12620,1,Hull Structure,BUILT-IN INTERMEDIATE TANKS,
12621,1,Hull Structure,BUILT-IN INTERMEDIATE TANKS,
1300,1,Hull Structure,AIR WEAPONS VS UNDERWATER TARGETS,
13000,1,Hull Structure,HULL DECKS,
13010,1,Hull Structure,HULL DECKS,
13011,1,Hull Structure,HULL DECKS,
13100,1,Hull Structure,MAIN DECK,
13110,1,Hull Structure,MAIN DECK,
13111,1,Hull Structure,MAIN DECK,
13200,1,Hull Structure,2ND DECK,
13300,1,Hull Structure,3RD DECK,
13400,1,Hull Structure,4TH DECK,
13500,1,Hull Structure,5TH DECK AND DECKS BELOW,
13600,1,Hull Structure,01 HULL DECK (FORECASTLE AND POOP DECKS),
13700,1,Hull Structure,02 HULL DECK,
13800,1,Hull Structure,03 HULL DECK,
13900,1,Hull Structure,04 HULL DECK AND HULL DECKS ABOVE,
1400,1,Hull Structure,SURFACE WEAPONS VS AIR TARGETS,
14000,1,Hull Structure,HULL PLATFORMS AND FLATS,
14010,1,Hull Structure,HULL PLATFORM AND FLATS,
14011,1,Hull Structure,HULL PLATFORM AND FLATS,
14100,1,Hull Structure,1ST PLATFORM,
14200,1,Hull Structure,2ND PLATFORM,
14300,1,Hull Structure,3RD PLATFORM,
14400,1,Hull Structure,4TH PLATFORM,
14500,1,Hull Structure,5TH PLATFORM,
14900,1,Hull Structure,FLATS,
1500,1,Hull Structure,SURFACE WEAPONS VS SURFACE TARGETS,
15000,1,Hull Structure,DECK HOUSE STRUCTURE,
15010,1,Hull Structure,SUPERSTRUCTURE,
15011,1,Hull Structure,SUPERSTRUCTURE,
15100,1,Hull Structure,DECKHOUSE STRUCTURE TO FIRST LEVEL,
