uei,naics6,naics_desc,is_primary
F8PEZKXES8B1,336611,Ship Building and Repairing,
F8PEZKXES8B1,541330,Engineering Services,
F8PEZKXES8B1,541614,"Process, Physical Distribution, and Logistics Consulting Services",Y
F8PEZKXES8B1,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",
LCV2N9FVV739,333611,Turbine and Turbine Generator Set Units Manufacturing,
LCV2N9FVV739,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",
LCV2N9FVV739,335312,Motor and Generator Manufacturing,Y
GXPHJRVG9MR7,335311,"Power, Distribution, and Specialty Transformer Manufacturing",Y
GXPHJRVG9MR7,335313,Switchgear and Switchboard Apparatus Manufacturing,
GXPHJRVG9MR7,335314,Relay and Industrial Control Manufacturing,
WYDAKCJ5K219,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",Y
N1PJDANWUJ61,331221,Rolled Steel Shape Manufacturing,
N1PJDANWUJ61,332111,Iron and Steel Forging,Y
N1PJDANWUJ61,332112,Nonferrous Forging,
N1PJDANWUJ61,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",
YNJNTZWVC3H6,336611,Ship Building and Repairing,Y
YNJNTZWVC3H6,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",
YNJNTZWVC3H6,488390,Other Support Activities for Water Transportation,
YNJNTZWVC3H6,541330,Engineering Services,
YNJNTZWVC3H6,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",
YNJNTZWVC3H6,541990,"All Other Professional, Scientific, and Technical Services",
SLD5KEGGLLZ3,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,Y
WJYVCPD5HKK7,325180,Other Basic Inorganic Chemical Manufacturing,
WJYVCPD5HKK7,332410,Power Boiler and Heat Exchanger Manufacturing,Y
WJYVCPD5HKK7,541990,"All Other Professional, Scientific, and Technical Services",
E8LNMDLEKM35,332312,Fabricated Structural Metal Manufacturing,Y
E8LNMDLEKM35,332313,Plate Work Manufacturing,
E8LNMDLEKM35,332410,Power Boiler and Heat Exchanger Manufacturing,
E8LNMDLEKM35,332420,Metal Tank (Heavy Gauge) Manufacturing,
E8LNMDLEKM35,332439,Other Metal Container Manufacturing,
E8LNMDLEKM35,332710,Machine Shops,
FLDEFFBLR5P3,325211,Plastics Material and Resin Manufacturing,
FLDEFFBLR5P3,325212,Synthetic Rubber Manufacturing,Y
FLDEFFBLR5P3,325991,Custom Compounding of Purchased Resins,
FLDEFFBLR5P3,326199,All Other Plastics Product Manufacturing,
YD1GK53355R5,332313,Plate Work Manufacturing,Y
YD1GK53355R5,332410,Power Boiler and Heat Exchanger Manufacturing,
YD1GK53355R5,332420,Metal Tank (Heavy Gauge) Manufacturing,
YD1GK53355R5,332710,Machine Shops,
YD1GK53355R5,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
JEP5GQGFPUL9,332911,Industrial Valve Manufacturing,Y
NYGUEDY27AM8,332911,Industrial Valve Manufacturing,Y
NYGUEDY27AM8,333995,Fluid Power Cylinder and Actuator Manufacturing,
JKZNKGGWYZ87,333611,Turbine and Turbine Generator Set Units Manufacturing,
JKZNKGGWYZ87,333996,Fluid Power Pump and Motor Manufacturing,
JKZNKGGWYZ87,335312,Motor and Generator Manufacturing,Y
JKZNKGGWYZ87,336611,Ship Building and Repairing,
SX6BF52K2WB1,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",
SX6BF52K2WB1,332912,Fluid Power Valve and Hose Fitting Manufacturing,Y
SX6BF52K2WB1,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,
SX6BF52K2WB1,336611,Ship Building and Repairing,
ZW3UMG9YVNA9,333611,Turbine and Turbine Generator Set Units Manufacturing,
ZW3UMG9YVNA9,335311,"Power, Distribution, and Specialty Transformer Manufacturing",
ZW3UMG9YVNA9,335313,Switchgear and Switchboard Apparatus Manufacturing,Y
ZW3UMG9YVNA9,335314,Relay and Industrial Control Manufacturing,
PAH8M4BJACA5,332710,Machine Shops,
PAH8M4BJACA5,332721,Precision Turned Product Manufacturing,
PAH8M4BJACA5,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",
PAH8M4BJACA5,333132,Oil and Gas Field Machinery and Equipment Manufacturing,
PAH8M4BJACA5,334417,Electronic Connector Manufacturing,Y
PAH8M4BJACA5,335931,Current-Carrying Wiring Device Manufacturing,
F42BKS7EHCL8,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,
F42BKS7EHCL8,334413,Semiconductor and Related Device Manufacturing,
F42BKS7EHCL8,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",Y
F42BKS7EHCL8,334417,Electronic Connector Manufacturing,
F42BKS7EHCL8,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,
F42BKS7EHCL8,334419,Other Electronic Component Manufacturing,
F42BKS7EHCL8,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,
F42BKS7EHCL8,334519,Other Measuring and Controlling Device Manufacturing,
F42BKS7EHCL8,335311,"Power, Distribution, and Specialty Transformer Manufacturing",
F42BKS7EHCL8,335312,Motor and Generator Manufacturing,
F42BKS7EHCL8,335313,Switchgear and Switchboard Apparatus Manufacturing,
F42BKS7EHCL8,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,
F42BKS7EHCL8,336611,Ship Building and Repairing,
WMXDDH6HJNA5,336611,Ship Building and Repairing,Y
G9HKMXL5L973,326291,Rubber Product Manufacturing for Mechanical Use,Y
G9HKMXL5L973,333132,Oil and Gas Field Machinery and Equipment Manufacturing,
F2LEAK3EK9R3,332410,Power Boiler and Heat Exchanger Manufacturing,
F2LEAK3EK9R3,333998,All Other Miscellaneous General Purpose Machinery Manufacturing,
F2LEAK3EK9R3,336611,Ship Building and Repairing,Y
QGB4RDYJNJT9,332111,Iron and Steel Forging,Y
QGB4RDYJNJT9,332710,Machine Shops,
QGB4RDYJNJT9,332811,Metal Heat Treating,
QGB4RDYJNJT9,332993,Ammunition (except Small Arms) Manufacturing,
QGB4RDYJNJT9,333611,Turbine and Turbine Generator Set Units Manufacturing,
QGB4RDYJNJT9,333613,Mechanical Power Transmission Equipment Manufacturing,
QGB4RDYJNJT9,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,
QGB4RDYJNJT9,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,
QGB4RDYJNJT9,336611,Ship Building and Repairing,
QGB4RDYJNJT9,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",
QGB4RDYJNJT9,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",
RG6LJJM6JBS3,336611,Ship Building and Repairing,Y
RG6LJJM6JBS3,541330,Engineering Services,
RG6LJJM6JBS3,811210,Electronic and Precision Equipment Repair and Maintenance,
RG6LJJM6JBS3,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,
XQW8RJNNAXX8,332312,Fabricated Structural Metal Manufacturing,
XQW8RJNNAXX8,332313,Plate Work Manufacturing,
XQW8RJNNAXX8,332420,Metal Tank (Heavy Gauge) Manufacturing,
XQW8RJNNAXX8,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",Y
DJG7NEG7QRK5,332911,Industrial Valve Manufacturing,Y
LSMBJZFLN8L9,332312,Fabricated Structural Metal Manufacturing,
LSMBJZFLN8L9,336611,Ship Building and Repairing,Y
LSMBJZFLN8L9,541330,Engineering Services,
CFXRGJSB9UB6,335313,Switchgear and Switchboard Apparatus Manufacturing,Y
QLJZVM6XKR71,541612,Human Resources Consulting Services,
QLJZVM6XKR71,541618,Other Management Consulting Services,
QLJZVM6XKR71,541990,"All Other Professional, Scientific, and Technical Services",
QLJZVM6XKR71,611420,Computer Training,
QLJZVM6XKR71,611430,Professional and Management Development Training,Y
KYURG7LRSC89,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",Y
Y6X3BDLEPNJ6,332312,Fabricated Structural Metal Manufacturing,
Y6X3BDLEPNJ6,332313,Plate Work Manufacturing,
Y6X3BDLEPNJ6,332322,Sheet Metal Work Manufacturing,
Y6X3BDLEPNJ6,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
Y6X3BDLEPNJ6,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",
Y6X3BDLEPNJ6,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,
Y6X3BDLEPNJ6,336414,Guided Missile and Space Vehicle Manufacturing,
Y6X3BDLEPNJ6,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,
Y6X3BDLEPNJ6,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,
Y6X3BDLEPNJ6,336611,Ship Building and Repairing,Y
Y6X3BDLEPNJ6,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",
Y6X3BDLEPNJ6,541330,Engineering Services,
VJMTKNLENX24,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,
VJMTKNLENX24,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,Y
Q35JL9GFCAK3,332911,Industrial Valve Manufacturing,
Q35JL9GFCAK3,332912,Fluid Power Valve and Hose Fitting Manufacturing,Y
Q35JL9GFCAK3,332919,Other Metal Valve and Pipe Fitting Manufacturing,
Q35JL9GFCAK3,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
Q35JL9GFCAK3,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",
Q35JL9GFCAK3,336412,Aircraft Engine and Engine Parts Manufacturing,
Q35JL9GFCAK3,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,
Q35JL9GFCAK3,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,
Q35JL9GFCAK3,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,
Q35JL9GFCAK3,336999,All Other Transportation Equipment Manufacturing,
Z89SS59265U9,221118,Other Electric Power Generation,
Z89SS59265U9,334290,Other Communications Equipment Manufacturing,
