Subawardee UEI,Subawardee Vendor Name,Subawardee DBA Name,Parent UEI,Parent Vendor Name,Subaward Report ID,Subaward Report Number,Subaward Number,Subaward Date,Submitted Date,Subaward Amount $,Subaward Description,Subawardee Street Address,Subawardee Street Address 2,Subawardee City,Subawardee Congressional District,Subawardee State Code,Subawardee State Name,Country Code,Country Name,Subawardee ZIP,Business Type Codes,Business Type Names,Top Pay Salaries,Top Pay Employee Names,Prime PIID,Prime Contract Key,Agency ID,Referenced IDV PIID,Referenced IDV Agency ID,Prime Award Type,Total Contract Value $,Base Award Date Signed,Prime Entity UEI,Prime Entity Name,Description of Requirement,Prime NAICS,Prime NAICS Description,Funding Agency Code,Funding Agency Name,Funding Office Code,Funding Office Name,Funding Department Code,Funding Department Name,Contracting Agency Code,Contracting Agency Name,Contracting Office Code,Contracting Office Name,Contracting Department Code,Contracting Department Name
C18KXNHETC95,"KITCO FIBER OPTICS, INC.",ELECTRIC BOAT CORPORATION,,,20958421,a624948e-fcba-11ef-8e2a-e7034f2d18cd,1000007458,2021-05-11,2022-03-29,53559.68,SEE COMPLETE DESCRIPTION,1151 AZALEA GARDEN RD STE 100,,norfolk,03,VA,Virginia,USA,United States,235025601,2X; MF,For-Profit Organization; Manufacturer of Goods,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,1.358659769E10,2022-03-29,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,REVISE PERFORMANCE INCENTIVES,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N4109A,PROGRAM EXECUTIVE OFFICE,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE
C18KXNHETC95,"KITCO FIBER OPTICS, INC.",ELECTRIC BOAT CORPORATION,,,20958422,a624970e-fcba-11ef-8e2a-e7034f2d18cd,1000012058,2021-07-13,2022-03-30,197697.29,SEE COMPLETE DESCRIPTION,1151 AZALEA GARDEN RD STE 100,,norfolk,03,VA,Virginia,USA,United States,235025601,2X; MF,For-Profit Organization; Manufacturer of Goods,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,1.358659769E10,2022-03-30,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,FUNDING,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N4109A,PROGRAM EXECUTIVE OFFICE,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE
C1B6X8AADFB1,"COMSACO, INC.",ELECTRIC BOAT CORPORATION,,,20699261,9c59c54c-fcb9-11ef-8e2a-e7034f2d18cd,PPD126=029,2017-06-28,2017-08-31,31333.0,BOX,3737 E VIRGINIA BEACH BLVD,,norfolk,03,VA,Virginia,USA,United States,235023217,2X; MF,For-Profit Organization; Manufacturer of Goods,,,N0002413C2128,CONT_AWD_N0002413C2128_9700_-NONE-_-NONE-,9700,,,AWARD,2.975331483E9,2017-08-23,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,COLUMBIA DESIGN SUPPORT,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N50120,NAVY ERP,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE
C1B6X8AADFB1,"COMSACO, INC.",General Dynamics Electric Boat,,,20956856,a550585e-fcba-11ef-8e2a-e7034f2d18cd,GPE081=042,2018-05-29,2019-01-31,29565.0,BOX,3737 E VIRGINIA BEACH BLVD,,norfolk,03,VA,Virginia,USA,United States,235023217,2X; MF,For-Profit Organization; Manufacturer of Goods,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,1.358659769E10,2019-01-25,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,CREATE SLIN 600107 AND PROVIDE INSTALLMENT FUNDS IN ON SLINS 600106 AND 600107 TOWARD THE 31 JANUARY 2019 INSTALLMENT SCHEDULE.,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N48160,PROGRAM EXECUTIVE OFFICER SUBMARINE,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE
C1B6X8AADFB1,"COMSACO, INC.",ELECTRIC BOAT CORPORATION,,,20956854,a5505368-fcba-11ef-8e2a-e7034f2d18cd,GPE081=042,2018-05-29,2019-03-16,10988.0,BOX,3737 E VIRGINIA BEACH BLVD,,norfolk,03,VA,Virginia,USA,United States,235023217,2X; MF,For-Profit Organization; Manufacturer of Goods,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,1.358659769E10,2019-03-15,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,"INCREMENTAL FUNDING FOR 200003, 200007, AND 110009.",541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N48160,PROGRAM EXECUTIVE OFFICER SUBMARINE,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE
C1B6X8AADFB1,"COMSACO, INC.",ELECTRIC BOAT CORPORATION,,,20956853,a550508e-fcba-11ef-8e2a-e7034f2d18cd,GPE081=042,2018-05-29,2019-06-10,1154.0,SEE COMPLETE DESCRIPTION,3737 E VIRGINIA BEACH BLVD,,norfolk,03,VA,Virginia,USA,United States,235023217,2X; MF,For-Profit Organization; Manufacturer of Goods,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,1.358659769E10,2019-05-31,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,MISSILE TUBE DRAWING REVISIONS,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N62797,SUPV SHIPBUILD CONV - REP 2 ERP,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE
C1B6X8AADFB1,"COMSACO, INC.",ELECTRIC BOAT CORPORATION,,,20956855,a55055f2-fcba-11ef-8e2a-e7034f2d18cd,1000021630,2021-12-10,2022-04-01,28280.0,See Full Text,3737 E VIRGINIA BEACH BLVD,,norfolk,02,VA,Virginia,USA,United States,235023217,2X; MF,For-Profit Organization; Manufacturer of Goods,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,1.358659769E10,2022-04-01,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,GOVERNMENT FURNISHED PROPERTY SCHEDULE CHANGES,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE
C1B6X8AADFB1,COMSACO INC,ELECTRIC BOAT CORPORATION,,,20956852,a5504d82-fcba-11ef-8e2a-e7034f2d18cd,GPE081=042,2022-02-11,2023-04-24,20.0,See Description,3737 E VIRGINIA BEACH BLVD,,norfolk,02,VA,Virginia,USA,United States,235023217,2X; MF,For-Profit Organization; Manufacturer of Goods,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,1.358659769E10,2023-04-20,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,GOVERNMENT PROPERTY TRANSFER,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE
C1B6X8AADFB1,"COMSACO, LLC",ELECTRIC BOAT CORPORATION,,,20956857,a5505ad4-fcba-11ef-8e2a-e7034f2d18cd,GPE081=042,2022-05-20,2025-03-06,124.0,See Below,3737 E VIRGINIA BEACH BLVD,,norfolk,02,VA,Virginia,USA,United States,235023217,2X; MF,For-Profit Organization; Manufacturer of Goods,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,2.1121991953E10,2025-03-04,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,STREAMLINED CHANGES COUPONS SSBN 826,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE
C1B6X8AADFB1,"COMSACO, LLC",ELECTRIC BOAT CORPORATION,,,20956859,a5505fca-fcba-11ef-8e2a-e7034f2d18cd,1000034969,2022-06-30,2025-03-06,35760.0,See Below,3737 E VIRGINIA BEACH BLVD,,norfolk,02,VA,Virginia,USA,United States,235023217,2X; MF,For-Profit Organization; Manufacturer of Goods,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,2.1121991953E10,2025-03-04,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,STREAMLINED CHANGES COUPONS SSBN 826,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE
