Subawardee UEI,Program,Subawardee Vendor Name,Parent UEI,Parent Vendor Name,Parent UEI(s)
HLVBPCA2LH41,DDG,ROLLS-ROYCE MARINE NORTH AMERICA INC.,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,F32RBQ3CHAG9; VE65QFAKCLG7
J1T1FEN3PWX6,DDG,GENERAL ELECTRIC COMPANY,JRZ1WHXAKBM3,GENERAL ELECTRIC COMPANY,J1T1FEN3PWX6; JRZ1WHXAKBM3
J3AFGKXWYK73,DDG,York International Corporation,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,XEQ3L57D2J24; Z2N8C3NL8FW5
SLD5KEGGLLZ3,DDG,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",,,
FZPYZ11SFNA6,DDG,TIMKEN GEARS & SERVICES INC.,H4FZBFXLJ636,"TIMKEN COMPANY, THE",H4FZBFXLJ636
HNAECT5M9TM4,DDG,"SOCAIL, LDA",,,
PQGNEEY9W5M3,DDG,NORTHROP GRUMMAN SYSTEMS CORPORATION,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,NKVZLJL93QT6
GXPHJRVG9MR7,DDG,DRS NAVAL POWER SYSTEMS INC,W8PTMRME1496,LEONARDO SPA,E57FS3E4CQ19; W8PTMRME1496; YYVHWZMPP3F8
ZW3UMG9YVNA9,DDG,L-3 COMMUNICATIONS WESTWOOD CORPORATION,ZW3UMG9YVNA9,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",PNE9R5EJMWK8; SJULQDJ8NZU7; XXP4PLFFFGK9; ZW3UMG9YVNA9
QGB4RDYJNJT9,DDG,ELLWOOD NATIONAL FORGE COMPANY,GKPGD2F1LKL5,"ELLWOOD GROUP, INC.",GKPGD2F1LKL5; SNP5XVVL5896; SVXNHLLWX953
VJMTKNLENX24,DDG,ENGINEERED COIL COMPANY,W8PTMRME1496,LEONARDO SPA,E57FS3E4CQ19; W8PTMRME1496
Z89SS59265U9,DDG,ESPEY MFG. & ELECTRONICS CORP.,Z89SS59265U9,ESPEY MFG. & ELECTRONICS CORP.,Z89SS59265U9
YELYMYLF82L9,DDG,"LAKE SHORE SYSTEMS, INC.",EZN9VQG18FN1,OLDENBURG GROUP V2 GSM SPON,EZN9VQG18FN1; YELYMYLF82L9
CFXRGJSB9UB6,DDG,"SPD ELECTRICAL SYSTEMS, INC",XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",DTZJAQF8NZA1; SJULQDJ8NZU7; XXP4PLFFFGK9
SSD8KRDXKG46,DDG,"HILLER COMPANIES, INC., THE",GGSLGRB5KXM6,Pon Holdings B.V.,GGSLGRB5KXM6; MX63C2VRKCJ6; ZXMJM9MBXBQ4
