tier,pre_award,type,posted,deadline,title,agency_path,naics,psc,set_aside,solicitation_number,notice_id,ui_link,matched_queries
STRONG,yes,Presolicitation,2025-11-05,2025-12-05,Unmanned Maritime Systems Support (UMSS),DEPT OF DEFENSE.DEPT OF THE NAVY.SPAWAR.SPAWAR PACIFIC.NIWC PACIFIC,541330,J059,,N66001_25_R_0024,adb09927bf6045819455cddc19330b4a,https://sam.gov/workspace/contract/opp/adb09927bf6045819455cddc19330b4a/view,title_maritime;title_unmanned
STRONG,yes,Solicitation,2025-12-10,2025-12-11,Unmanned Maritime Systems Support (UMSS),DEPT OF DEFENSE.DEPT OF THE NAVY.SPAWAR.SPAWAR PACIFIC.NIWC PACIFIC,541330,J059,,N6600126R0018,9deb06ebb8cd4f6db5d975da1cfa2782,https://sam.gov/workspace/contract/opp/9deb06ebb8cd4f6db5d975da1cfa2782/view,title_maritime;title_unmanned
STRONG,yes,Solicitation,2026-01-08,2026-01-16,Unmanned Maritime Systems (UMS) Support,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA WARFARE CENTER.NAVAL SURFACE WARFARE CENTER,541330,R425,SDVOSBC,N6133126R3102,930b288442584843b94ec1d27d2279fe,https://sam.gov/workspace/contract/opp/930b288442584843b94ec1d27d2279fe/view,title_maritime;title_unmanned
STRONG,yes,Solicitation,2026-05-06,2026-05-14,Area of Interest (AOI): Information and Communications Technology (ICT) for Unmanned Surface Vessels (USV),DEPT OF DEFENSE.DEPT OF THE NAVY.SPAWAR.SPAWAR HQ.NAVAL INFORMATION WARFARE SYSTEMS,541512,7G22,,N0003926RA005,42aee566e9c74f5ea089d2b6e567ca68,https://sam.gov/workspace/contract/opp/42aee566e9c74f5ea089d2b6e567ca68/view,title_unmanned;title_usv;title_vessel
STRONG,yes,Solicitation,2026-06-08,2026-06-11,USV FOR MEAS and BATHYMETRY SURVEYS IAW SALIENTS,"INTERIOR, DEPARTMENT OF THE.US GEOLOGICAL SURVEY.OFC OF ACQUSITION  GRANTS-NATIONAL",334511,6680,SBA,140G0126Q0169,dec45644b193428db38e9ef0df7cada9,https://sam.gov/workspace/contract/opp/dec45644b193428db38e9ef0df7cada9/view,title_usv
STRONG,yes,Special Notice,2026-06-11,2026-07-06,Federal Business Opportunities posting Request for Information Assured Access to Maritime Autonomous Surface Ships,DEPT OF DEFENSE.US TRANSPORTATION COMMAND (USTRANSCOM),,,NONE,USTC2026001,583abe432ccb4cddb523c8c3e672ded5,https://sam.gov/workspace/contract/opp/583abe432ccb4cddb523c8c3e672ded5/view,title_autonomous;title_maritime
STRONG,yes,Special Notice,2026-06-11,2026-07-08,NSWC-PHD MATAC OTA Request for Solutions: USV C2 laboratory Expansion Project,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA WARFARE CENTER.COMMANDING OFFICER,541715,,,REQ-AS-002,63623804dc004f36b804373f0fa98c4e,https://sam.gov/workspace/contract/opp/63623804dc004f36b804373f0fa98c4e/view,title_usv
MEDIUM,yes,Solicitation,2026-03-26,2026-04-01,NAWCAD (WOLF) Ship and Air Integrated Warfare Division Small Unmanned Aircraft Systems (SUAS) Reusable Architecture (SRA),DEPT OF DEFENSE.DEPT OF THE NAVY.NAVAIR.NAVAIR HQS.NAVAL AIR SYSTEMS COMMAND,541330,H216,SBA,N0042126R1006,8fc07bff4f6745b59168bd6cf65ad4ae,https://sam.gov/workspace/contract/opp/8fc07bff4f6745b59168bd6cf65ad4ae/view,title_unmanned
MEDIUM,yes,Special Notice,2026-05-18,2026-06-01,Capability Program Executive (CPE) Mission Autonomy Commercial Solution Opening (CSO) Area of Interest 002 Bridge Erection Boat (BEB) Autonomous Operations,DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.ACC-CTRS.ACC-DTA.W6QK ACC- DTA,,,,W912CH26SC003AoI002,5a5b3b20ce7447a0b3d7014a5c857992,https://sam.gov/workspace/contract/opp/5a5b3b20ce7447a0b3d7014a5c857992/view,title_autonomous;title_autonomy;title_boat
MEDIUM,yes,Combined Synopsis/Solicitation,2026-06-01,2026-06-04,Sole Source to Woods Hole Oceanographic Institute for Unmanned Underwater Vehicle Resilience In-Water Test Support  per attachments,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA WARFARE CENTER.NAVAL SURFACE WARFARE CENTER,541330,R425,,N61331-26-Q-KS34,c9a5ea2425964b6a8c66d8fe9c7fc65c,https://sam.gov/workspace/contract/opp/c9a5ea2425964b6a8c66d8fe9c7fc65c/view,title_unmanned
MEDIUM,yes,Special Notice,2026-06-11,2026-06-14,Subsea and Seabed Warfare and Robotic Autonomous Systems Industry Day,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA WARFARE CENTER.NAVAL UNDERSEA WARFARE CENTER,,,,N00253-ID-SSW-RAS-06152026,0ba4990fa76747cfb3d57ea49991bf5b,https://sam.gov/workspace/contract/opp/0ba4990fa76747cfb3d57ea49991bf5b/view,title_autonomous
